order_id,date_order,customer_name,country,product_category,product_name,quantity,unit_price,total_amount,status
SO0419,2025-01-07 00:00:00,Empresa Alfa,México,Hardware,Portátil Lenovo ThinkPad,4,328.75,1315.0,Sale
SO0421,2025-01-07 00:00:00,Startup Innova,Chile,Soporte Técnico,Bolsa de 10h,4,1000.18,4000.72,Draft
SO0092,2025-01-08 00:00:00,Startup Innova,Chile,Soporte Técnico,Bolsa de 10h,7,1160.46,8123.22,Draft
SO0004,2025-01-09 00:00:00,Grupo Constructor,Colombia,Hardware,Servidor Dell PowerEdge,16,584.78,9356.48,Sale
SO0306,2025-01-09 00:00:00,Empresa Alfa,Perú,Consultoría,Auditoría de Seguridad,12,1388.56,16662.72,Sale
SO0822,2025-01-09 00:00:00,Startup Innova,México,Hardware,Portátil Lenovo ThinkPad,4,1056.13,4224.52,Sale
SO0372,2025-01-10 00:00:00,Industrias XYZ,Argentina,Hardware,Servidor Dell PowerEdge,17,170.67,2901.39,Draft
SO0626,2025-01-10 00:00:00,Logística Express,España,Servicios Cloud,Suscripción Anual AWS,17,461.21,7840.57,Cancelled
SO0645,2025-01-10 00:00:00,Comercial Sur,Argentina,Consultoría,Diseño de Arquitectura,9,1258.9,11330.1,Draft
SO0694,2025-01-10 00:00:00,Comercial Sur,Argentina,Licencias Software,Antivirus Corporativo,19,1329.06,25252.14,Sale
SO0115,2025-01-11 00:00:00,Consultoría Global,México,Servicios Cloud,Migración de Servidores,8,1463.61,11708.88,Draft
SO0221,2025-01-11 00:00:00,Consultoría Global,Argentina,Hardware,Servidor Dell PowerEdge,5,536.0,2680.0,Sale
SO0399,2025-01-11 00:00:00,Consultoría Global,Colombia,Licencias Software,Antivirus Corporativo,2,334.09,668.18,Sale
SO0461,2025-01-11 00:00:00,Consultoría Global,Colombia,Soporte Técnico,Bolsa de 50h,14,1040.99,14573.86,Sale
SO0224,2025-01-12 00:00:00,Tech Solutions,México,Licencias Software,Odoo Enterprise (50 Users),2,1342.34,2684.68,Sale
SO0670,2025-01-12 00:00:00,Consultoría Global,México,Servicios Cloud,Suscripción Anual AWS,20,137.23,2744.6,Sale
SO0823,2025-01-13 00:00:00,Comercial Sur,Perú,Licencias Software,Licencia Windows Server,10,1476.3,14763.0,Draft
SO0065,2025-01-14 00:00:00,Industrias XYZ,México,Hardware,Servidor Dell PowerEdge,2,1338.7,2677.4,Draft
SO0084,2025-01-15 00:00:00,Grupo Constructor,Colombia,Consultoría,Diseño de Arquitectura,6,681.9,4091.4,Sale
SO0264,2025-01-16 00:00:00,Tech Solutions,Argentina,Soporte Técnico,Soporte 24/7 Mensual,2,1134.98,2269.96,Sale
SO0427,2025-01-16 00:00:00,Consultoría Global,Chile,Servicios Cloud,Suscripción Anual AWS,17,413.02,7021.34,Sale
SO0577,2025-01-16 00:00:00,Tech Solutions,Chile,Servicios Cloud,Backup Cloud,15,1053.48,15802.2,Cancelled
SO0869,2025-01-17 00:00:00,Grupo Constructor,México,Hardware,Portátil Lenovo ThinkPad,11,1294.56,14240.16,Sale
SO0952,2025-01-17 00:00:00,Startup Innova,España,Consultoría,Diseño de Arquitectura,11,499.13,5490.43,Cancelled
SO0260,2025-01-18 00:00:00,Empresa Alfa,Colombia,Consultoría,Auditoría de Seguridad,16,599.3,9588.8,Sale
SO0073,2025-01-19 00:00:00,Startup Innova,Argentina,Licencias Software,Licencia Windows Server,15,714.92,10723.8,Draft
SO0376,2025-01-19 00:00:00,Grupo Constructor,Chile,Hardware,Portátil Lenovo ThinkPad,2,251.15,502.3,Sale
SO0607,2025-01-20 00:00:00,Industrias XYZ,España,Licencias Software,Antivirus Corporativo,20,794.87,15897.4,Sale
SO0442,2025-01-21 00:00:00,Grupo Constructor,Colombia,Servicios Cloud,Migración de Servidores,11,1413.09,15543.99,Cancelled
SO0908,2025-01-21 00:00:00,Grupo Constructor,Perú,Soporte Técnico,Bolsa de 10h,4,125.19,500.76,Sale
SO0561,2025-01-22 00:00:00,Empresa Alfa,Argentina,Hardware,Portátil Lenovo ThinkPad,10,821.2,8212.0,Cancelled
SO0820,2025-01-22 00:00:00,Industrias XYZ,Perú,Consultoría,Diseño de Arquitectura,4,1194.78,4779.12,Draft
SO0227,2025-01-23 00:00:00,Tech Solutions,México,Servicios Cloud,Migración de Servidores,3,1376.12,4128.36,Cancelled
SO0258,2025-01-23 00:00:00,Consultoría Global,España,Servicios Cloud,Migración de Servidores,14,665.86,9322.04,Sale
SO0623,2025-01-23 00:00:00,Consultoría Global,México,Servicios Cloud,Migración de Servidores,3,663.73,1991.19,Draft
SO0963,2025-01-23 00:00:00,Grupo Constructor,Chile,Servicios Cloud,Migración de Servidores,17,1061.74,18049.58,Sale
SO0997,2025-01-23 00:00:00,Grupo Constructor,Argentina,Servicios Cloud,Suscripción Anual AWS,16,766.74,12267.84,Sale
SO0584,2025-01-25 00:00:00,Industrias XYZ,España,Hardware,Switch Cisco,13,1095.02,14235.26,Sale
SO0890,2025-01-25 00:00:00,Tech Solutions,Perú,Licencias Software,Licencia Windows Server,20,217.83,4356.6,Sale
SO0962,2025-01-25 00:00:00,Industrias XYZ,Chile,Servicios Cloud,Migración de Servidores,13,857.21,11143.73,Sale
SO0239,2025-01-26 00:00:00,Startup Innova,España,Consultoría,Optimización de Procesos,18,1205.89,21706.02,Sale
SO0369,2025-01-26 00:00:00,Empresa Alfa,Perú,Licencias Software,Antivirus Corporativo,3,419.06,1257.18,Cancelled
SO0971,2025-01-27 00:00:00,Startup Innova,Perú,Servicios Cloud,Backup Cloud,1,705.69,705.69,Sale
SO0143,2025-01-28 00:00:00,Consultoría Global,Perú,Soporte Técnico,Soporte 24/7 Mensual,9,239.18,2152.62,Sale
SO0572,2025-01-28 00:00:00,Logística Express,España,Soporte Técnico,Bolsa de 10h,4,1310.72,5242.88,Sale
SO0601,2025-01-28 00:00:00,Industrias XYZ,Chile,Consultoría,Optimización de Procesos,3,816.53,2449.59,Sale
SO0664,2025-01-28 00:00:00,Empresa Alfa,Chile,Consultoría,Optimización de Procesos,19,1228.43,23340.17,Sale
SO0802,2025-01-28 00:00:00,Consultoría Global,España,Consultoría,Optimización de Procesos,1,1379.26,1379.26,Sale
SO0872,2025-01-28 00:00:00,Empresa Alfa,Chile,Hardware,Switch Cisco,15,797.12,11956.8,Sale
SO0987,2025-01-28 00:00:00,Logística Express,Colombia,Consultoría,Optimización de Procesos,14,1264.51,17703.14,Cancelled
SO0252,2025-01-29 00:00:00,Grupo Constructor,México,Consultoría,Optimización de Procesos,12,98.28,1179.36,Sale
SO0278,2025-01-29 00:00:00,Tech Solutions,España,Hardware,Switch Cisco,1,753.56,753.56,Draft
SO0512,2025-01-29 00:00:00,Consultoría Global,España,Licencias Software,Odoo Enterprise (50 Users),4,554.02,2216.08,Sale
SO0550,2025-01-29 00:00:00,Consultoría Global,Perú,Licencias Software,Antivirus Corporativo,19,585.41,11122.79,Sale
SO0724,2025-01-30 00:00:00,Tech Solutions,Argentina,Consultoría,Optimización de Procesos,16,1407.9,22526.4,Sale
SO0824,2025-01-30 00:00:00,Industrias XYZ,Argentina,Consultoría,Auditoría de Seguridad,13,1301.05,16913.65,Cancelled
SO0298,2025-01-31 00:00:00,Empresa Alfa,México,Servicios Cloud,Suscripción Anual AWS,17,1085.74,18457.58,Draft
SO0713,2025-01-31 00:00:00,Startup Innova,Colombia,Servicios Cloud,Backup Cloud,13,449.15,5838.95,Sale
SO0927,2025-01-31 00:00:00,Tech Solutions,México,Soporte Técnico,Bolsa de 10h,6,795.61,4773.66,Sale
SO0210,2025-02-01 00:00:00,Industrias XYZ,México,Servicios Cloud,Backup Cloud,6,524.13,3144.78,Sale
SO0538,2025-02-01 00:00:00,Comercial Sur,Perú,Licencias Software,Antivirus Corporativo,3,690.17,2070.51,Cancelled
SO0288,2025-02-02 00:00:00,Consultoría Global,México,Consultoría,Diseño de Arquitectura,3,504.39,1513.17,Sale
SO0283,2025-02-03 00:00:00,Tech Solutions,Perú,Licencias Software,Licencia Windows Server,4,1359.72,5438.88,Cancelled
SO0862,2025-02-03 00:00:00,Startup Innova,Perú,Servicios Cloud,Backup Cloud,8,733.21,5865.68,Sale
SO0897,2025-02-03 00:00:00,Grupo Constructor,Perú,Soporte Técnico,Soporte 24/7 Mensual,4,670.66,2682.64,Sale
SO0941,2025-02-04 00:00:00,Consultoría Global,Chile,Soporte Técnico,Soporte 24/7 Mensual,11,1438.8,15826.8,Sale
SO0076,2025-02-05 00:00:00,Tech Solutions,Chile,Servicios Cloud,Migración de Servidores,16,546.93,8750.88,Sale
SO0333,2025-02-05 00:00:00,Consultoría Global,Perú,Consultoría,Optimización de Procesos,11,1011.33,11124.63,Draft
SO0042,2025-02-06 00:00:00,Empresa Alfa,Chile,Soporte Técnico,Bolsa de 10h,12,443.62,5323.44,Cancelled
SO0999,2025-02-06 00:00:00,Tech Solutions,Perú,Soporte Técnico,Soporte 24/7 Mensual,1,1438.07,1438.07,Sale
SO0064,2025-02-07 00:00:00,Consultoría Global,Perú,Soporte Técnico,Bolsa de 50h,18,163.65,2945.7,Cancelled
SO0180,2025-02-07 00:00:00,Industrias XYZ,Colombia,Consultoría,Optimización de Procesos,11,1032.74,11360.14,Sale
SO0207,2025-02-07 00:00:00,Empresa Alfa,Argentina,Soporte Técnico,Bolsa de 50h,5,768.59,3842.95,Cancelled
SO0380,2025-02-07 00:00:00,Industrias XYZ,España,Hardware,Servidor Dell PowerEdge,19,324.77,6170.63,Sale
SO0530,2025-02-07 00:00:00,Grupo Constructor,México,Hardware,Servidor Dell PowerEdge,9,1120.87,10087.83,Sale
SO0588,2025-02-08 00:00:00,Empresa Alfa,Colombia,Consultoría,Optimización de Procesos,4,502.3,2009.2,Sale
SO0726,2025-02-09 00:00:00,Empresa Alfa,Argentina,Servicios Cloud,Suscripción Anual AWS,14,1047.43,14664.02,Sale
SO0325,2025-02-10 00:00:00,Startup Innova,Perú,Soporte Técnico,Bolsa de 50h,14,1122.26,15711.64,Sale
SO0793,2025-02-10 00:00:00,Consultoría Global,Argentina,Licencias Software,Antivirus Corporativo,2,173.44,346.88,Sale
SO0740,2025-02-11 00:00:00,Startup Innova,Chile,Consultoría,Optimización de Procesos,3,256.81,770.43,Sale
SO0208,2025-02-12 00:00:00,Logística Express,España,Hardware,Portátil Lenovo ThinkPad,18,601.82,10832.76,Sale
SO0209,2025-02-12 00:00:00,Consultoría Global,Colombia,Hardware,Switch Cisco,18,422.48,7604.64,Sale
SO0559,2025-02-12 00:00:00,Logística Express,Colombia,Licencias Software,Odoo Enterprise (50 Users),18,934.54,16821.72,Sale
SO0617,2025-02-12 00:00:00,Empresa Alfa,España,Consultoría,Diseño de Arquitectura,13,628.04,8164.52,Cancelled
SO0821,2025-02-12 00:00:00,Empresa Alfa,Argentina,Hardware,Switch Cisco,18,73.26,1318.68,Sale
SO0433,2025-02-13 00:00:00,Startup Innova,Perú,Licencias Software,Antivirus Corporativo,5,1492.11,7460.55,Sale
SO0763,2025-02-13 00:00:00,Startup Innova,Chile,Licencias Software,Antivirus Corporativo,16,1063.14,17010.24,Sale
SO0106,2025-02-14 00:00:00,Industrias XYZ,Colombia,Soporte Técnico,Bolsa de 50h,20,575.14,11502.8,Sale
SO0514,2025-02-14 00:00:00,Empresa Alfa,Colombia,Servicios Cloud,Suscripción Anual AWS,17,795.78,13528.26,Draft
SO0312,2025-02-15 00:00:00,Consultoría Global,España,Servicios Cloud,Suscripción Anual AWS,18,1045.82,18824.76,Draft
SO0377,2025-02-15 00:00:00,Grupo Constructor,Argentina,Hardware,Servidor Dell PowerEdge,5,690.0,3450.0,Draft
SO0628,2025-02-15 00:00:00,Startup Innova,México,Servicios Cloud,Backup Cloud,18,532.77,9589.86,Sale
SO0768,2025-02-15 00:00:00,Tech Solutions,Perú,Soporte Técnico,Bolsa de 10h,8,596.0,4768.0,Sale
SO0912,2025-02-16 00:00:00,Consultoría Global,Chile,Consultoría,Diseño de Arquitectura,9,1184.8,10663.2,Sale
SO0026,2025-02-17 00:00:00,Comercial Sur,Colombia,Servicios Cloud,Backup Cloud,4,1206.02,4824.08,Sale
SO0282,2025-02-17 00:00:00,Comercial Sur,México,Servicios Cloud,Backup Cloud,9,748.23,6734.07,Sale
SO0762,2025-02-17 00:00:00,Grupo Constructor,Chile,Licencias Software,Licencia Windows Server,6,1286.17,7717.02,Sale
SO0832,2025-02-17 00:00:00,Tech Solutions,Perú,Licencias Software,Antivirus Corporativo,6,526.11,3156.66,Sale
SO0163,2025-02-18 00:00:00,Industrias XYZ,Perú,Licencias Software,Antivirus Corporativo,20,81.44,1628.8,Sale
SO0315,2025-02-18 00:00:00,Startup Innova,Chile,Soporte Técnico,Bolsa de 10h,17,1052.78,17897.26,Draft
SO0474,2025-02-18 00:00:00,Tech Solutions,Colombia,Servicios Cloud,Suscripción Anual AWS,11,625.03,6875.33,Sale
SO0685,2025-02-18 00:00:00,Grupo Constructor,Chile,Servicios Cloud,Suscripción Anual AWS,4,1026.46,4105.84,Sale
SO0902,2025-02-18 00:00:00,Consultoría Global,Colombia,Licencias Software,Licencia Windows Server,11,297.52,3272.72,Cancelled
SO0157,2025-02-19 00:00:00,Grupo Constructor,Colombia,Soporte Técnico,Bolsa de 10h,17,1486.77,25275.09,Draft
SO0622,2025-02-19 00:00:00,Logística Express,España,Hardware,Servidor Dell PowerEdge,5,971.68,4858.4,Cancelled
SO0752,2025-02-19 00:00:00,Tech Solutions,Colombia,Soporte Técnico,Bolsa de 10h,2,1360.82,2721.64,Sale
SO0886,2025-02-19 00:00:00,Tech Solutions,Argentina,Licencias Software,Odoo Enterprise (50 Users),18,402.92,7252.56,Sale
SO0066,2025-02-21 00:00:00,Startup Innova,Argentina,Licencias Software,Odoo Enterprise (50 Users),12,535.8,6429.6,Cancelled
SO0071,2025-02-21 00:00:00,Industrias XYZ,Chile,Consultoría,Auditoría de Seguridad,4,381.04,1524.16,Sale
SO0281,2025-02-21 00:00:00,Industrias XYZ,España,Licencias Software,Licencia Windows Server,13,1462.67,19014.71,Draft
SO0699,2025-02-21 00:00:00,Grupo Constructor,Colombia,Licencias Software,Odoo Enterprise (50 Users),9,934.67,8412.03,Draft
SO0919,2025-02-21 00:00:00,Logística Express,España,Licencias Software,Antivirus Corporativo,13,1264.79,16442.27,Cancelled
SO0366,2025-02-22 00:00:00,Comercial Sur,España,Consultoría,Auditoría de Seguridad,13,1342.93,17458.09,Draft
SO0633,2025-02-22 00:00:00,Empresa Alfa,Argentina,Licencias Software,Odoo Enterprise (50 Users),9,665.71,5991.39,Draft
SO0353,2025-02-23 00:00:00,Comercial Sur,México,Hardware,Switch Cisco,19,798.15,15164.85,Sale
SO0443,2025-02-23 00:00:00,Consultoría Global,España,Licencias Software,Odoo Enterprise (50 Users),20,416.05,8321.0,Sale
SO0750,2025-02-23 00:00:00,Industrias XYZ,Argentina,Consultoría,Auditoría de Seguridad,18,1474.5,26541.0,Sale
SO0006,2025-02-24 00:00:00,Consultoría Global,España,Licencias Software,Licencia Windows Server,1,93.26,93.26,Sale
SO0796,2025-02-24 00:00:00,Comercial Sur,Perú,Licencias Software,Odoo Enterprise (50 Users),18,568.63,10235.34,Sale
SO0038,2025-02-25 00:00:00,Consultoría Global,México,Licencias Software,Odoo Enterprise (50 Users),15,1255.86,18837.9,Cancelled
SO0080,2025-02-25 00:00:00,Grupo Constructor,México,Servicios Cloud,Migración de Servidores,8,722.83,5782.64,Draft
SO0049,2025-02-26 00:00:00,Empresa Alfa,Perú,Servicios Cloud,Migración de Servidores,10,183.04,1830.4,Sale
SO0435,2025-02-26 00:00:00,Logística Express,Perú,Soporte Técnico,Bolsa de 50h,16,208.36,3333.76,Draft
SO0487,2025-02-26 00:00:00,Tech Solutions,Argentina,Soporte Técnico,Bolsa de 50h,1,200.23,200.23,Cancelled
SO0697,2025-02-26 00:00:00,Logística Express,México,Hardware,Switch Cisco,20,901.19,18023.8,Sale
SO0904,2025-02-26 00:00:00,Startup Innova,Chile,Consultoría,Auditoría de Seguridad,19,495.3,9410.7,Cancelled
SO0198,2025-02-27 00:00:00,Grupo Constructor,España,Hardware,Portátil Lenovo ThinkPad,9,1415.88,12742.92,Sale
SO0430,2025-02-27 00:00:00,Tech Solutions,Colombia,Servicios Cloud,Suscripción Anual AWS,1,842.64,842.64,Sale
SO0691,2025-02-27 00:00:00,Grupo Constructor,Colombia,Servicios Cloud,Migración de Servidores,2,143.08,286.16,Sale
SO0849,2025-02-27 00:00:00,Tech Solutions,Perú,Consultoría,Auditoría de Seguridad,7,74.78,523.46,Sale
SO0470,2025-02-28 00:00:00,Tech Solutions,Argentina,Consultoría,Diseño de Arquitectura,11,596.35,6559.85,Sale
SO0905,2025-02-28 00:00:00,Consultoría Global,Colombia,Hardware,Switch Cisco,15,693.02,10395.3,Cancelled
SO0486,2025-03-01 00:00:00,Comercial Sur,México,Hardware,Servidor Dell PowerEdge,10,1370.27,13702.7,Cancelled
SO0019,2025-03-02 00:00:00,Empresa Alfa,España,Servicios Cloud,Suscripción Anual AWS,15,1052.36,15785.4,Cancelled
SO0434,2025-03-02 00:00:00,Comercial Sur,Argentina,Soporte Técnico,Bolsa de 50h,18,393.19,7077.42,Draft
SO0851,2025-03-02 00:00:00,Consultoría Global,Chile,Licencias Software,Odoo Enterprise (50 Users),16,387.58,6201.28,Sale
SO0960,2025-03-02 00:00:00,Comercial Sur,Chile,Servicios Cloud,Backup Cloud,10,212.1,2121.0,Cancelled
SO0117,2025-03-04 00:00:00,Comercial Sur,México,Licencias Software,Antivirus Corporativo,9,833.53,7501.77,Draft
SO0447,2025-03-04 00:00:00,Consultoría Global,Colombia,Consultoría,Diseño de Arquitectura,16,1115.64,17850.24,Cancelled
SO0615,2025-03-04 00:00:00,Empresa Alfa,Chile,Consultoría,Auditoría de Seguridad,17,1267.3,21544.1,Sale
SO0077,2025-03-05 00:00:00,Grupo Constructor,México,Consultoría,Auditoría de Seguridad,14,962.36,13473.04,Draft
SO0360,2025-03-05 00:00:00,Consultoría Global,Argentina,Servicios Cloud,Backup Cloud,4,882.39,3529.56,Cancelled
SO0495,2025-03-05 00:00:00,Industrias XYZ,México,Soporte Técnico,Bolsa de 50h,12,432.91,5194.92,Draft
SO0496,2025-03-05 00:00:00,Logística Express,Chile,Consultoría,Diseño de Arquitectura,17,1282.24,21798.08,Sale
SO0619,2025-03-05 00:00:00,Logística Express,Colombia,Hardware,Portátil Lenovo ThinkPad,14,1339.9,18758.6,Sale
SO0900,2025-03-05 00:00:00,Empresa Alfa,Chile,Soporte Técnico,Bolsa de 10h,9,1231.49,11083.41,Cancelled
SO0944,2025-03-05 00:00:00,Consultoría Global,Colombia,Hardware,Portátil Lenovo ThinkPad,14,81.2,1136.8,Sale
SO0305,2025-03-06 00:00:00,Empresa Alfa,Chile,Licencias Software,Antivirus Corporativo,10,1154.7,11547.0,Draft
SO0502,2025-03-06 00:00:00,Industrias XYZ,México,Servicios Cloud,Backup Cloud,12,1333.3,15999.6,Sale
SO0522,2025-03-06 00:00:00,Grupo Constructor,México,Consultoría,Diseño de Arquitectura,5,222.73,1113.65,Draft
SO0030,2025-03-07 00:00:00,Empresa Alfa,Chile,Servicios Cloud,Backup Cloud,3,860.07,2580.21,Sale
SO0490,2025-03-07 00:00:00,Comercial Sur,Chile,Consultoría,Diseño de Arquitectura,7,229.01,1603.07,Draft
SO0926,2025-03-07 00:00:00,Industrias XYZ,Chile,Hardware,Switch Cisco,6,398.55,2391.3,Sale
SO0012,2025-03-09 00:00:00,Logística Express,Perú,Hardware,Portátil Lenovo ThinkPad,7,556.57,3895.99,Sale
SO0190,2025-03-09 00:00:00,Industrias XYZ,Colombia,Consultoría,Optimización de Procesos,17,866.44,14729.48,Cancelled
SO0347,2025-03-09 00:00:00,Empresa Alfa,Argentina,Hardware,Switch Cisco,17,706.64,12012.88,Sale
SO0356,2025-03-09 00:00:00,Consultoría Global,España,Licencias Software,Antivirus Corporativo,14,1344.1,18817.4,Cancelled
SO0967,2025-03-09 00:00:00,Empresa Alfa,Colombia,Consultoría,Diseño de Arquitectura,4,640.8,2563.2,Sale
SO0119,2025-03-10 00:00:00,Logística Express,Colombia,Hardware,Switch Cisco,12,1469.39,17632.68,Cancelled
SO0384,2025-03-10 00:00:00,Logística Express,Colombia,Servicios Cloud,Backup Cloud,1,373.27,373.27,Cancelled
SO0716,2025-03-10 00:00:00,Comercial Sur,Colombia,Servicios Cloud,Migración de Servidores,13,655.3,8518.9,Sale
SO0928,2025-03-10 00:00:00,Comercial Sur,Argentina,Licencias Software,Odoo Enterprise (50 Users),4,873.61,3494.44,Sale
SO0242,2025-03-11 00:00:00,Startup Innova,Perú,Soporte Técnico,Soporte 24/7 Mensual,6,394.98,2369.88,Cancelled
SO0756,2025-03-11 00:00:00,Tech Solutions,Colombia,Consultoría,Diseño de Arquitectura,2,141.13,282.26,Sale
SO0992,2025-03-11 00:00:00,Grupo Constructor,Perú,Consultoría,Optimización de Procesos,5,1071.8,5359.0,Cancelled
SO0059,2025-03-12 00:00:00,Empresa Alfa,Colombia,Licencias Software,Licencia Windows Server,6,1281.78,7690.68,Sale
SO0061,2025-03-12 00:00:00,Logística Express,Colombia,Servicios Cloud,Migración de Servidores,10,1193.39,11933.9,Sale
SO0222,2025-03-12 00:00:00,Logística Express,Colombia,Servicios Cloud,Backup Cloud,20,599.68,11993.6,Cancelled
SO0274,2025-03-12 00:00:00,Industrias XYZ,Perú,Soporte Técnico,Bolsa de 50h,18,271.73,4891.14,Cancelled
SO0385,2025-03-12 00:00:00,Consultoría Global,Perú,Licencias Software,Licencia Windows Server,2,777.61,1555.22,Sale
SO0604,2025-03-12 00:00:00,Industrias XYZ,Perú,Licencias Software,Licencia Windows Server,7,900.8,6305.6,Sale
SO0008,2025-03-13 00:00:00,Startup Innova,Colombia,Consultoría,Auditoría de Seguridad,2,384.71,769.42,Sale
SO0014,2025-03-13 00:00:00,Consultoría Global,Perú,Hardware,Switch Cisco,8,285.68,2285.44,Sale
SO0149,2025-03-13 00:00:00,Logística Express,Colombia,Licencias Software,Odoo Enterprise (50 Users),9,58.25,524.25,Draft
SO0390,2025-03-13 00:00:00,Consultoría Global,Colombia,Hardware,Switch Cisco,4,604.46,2417.84,Draft
SO0674,2025-03-13 00:00:00,Grupo Constructor,España,Hardware,Portátil Lenovo ThinkPad,15,118.48,1777.2,Cancelled
SO0865,2025-03-13 00:00:00,Empresa Alfa,Argentina,Licencias Software,Odoo Enterprise (50 Users),9,1280.3,11522.7,Sale
SO0889,2025-03-13 00:00:00,Industrias XYZ,Chile,Consultoría,Auditoría de Seguridad,10,1196.91,11969.1,Sale
SO0379,2025-03-14 00:00:00,Consultoría Global,México,Hardware,Switch Cisco,9,237.0,2133.0,Cancelled
SO0400,2025-03-14 00:00:00,Empresa Alfa,México,Consultoría,Auditoría de Seguridad,12,672.5,8070.0,Sale
SO0600,2025-03-14 00:00:00,Empresa Alfa,Chile,Hardware,Portátil Lenovo ThinkPad,8,422.49,3379.92,Cancelled
SO0759,2025-03-14 00:00:00,Logística Express,Perú,Servicios Cloud,Migración de Servidores,5,1147.83,5739.15,Sale
SO0993,2025-03-14 00:00:00,Grupo Constructor,Chile,Consultoría,Optimización de Procesos,16,485.14,7762.24,Sale
SO0158,2025-03-16 00:00:00,Logística Express,Perú,Hardware,Portátil Lenovo ThinkPad,16,1110.12,17761.92,Draft
SO0418,2025-03-16 00:00:00,Tech Solutions,Colombia,Licencias Software,Odoo Enterprise (50 Users),1,1404.12,1404.12,Draft
SO0589,2025-03-17 00:00:00,Startup Innova,España,Hardware,Switch Cisco,13,76.99,1000.87,Sale
SO0630,2025-03-17 00:00:00,Empresa Alfa,Colombia,Licencias Software,Odoo Enterprise (50 Users),10,1032.41,10324.1,Sale
SO0406,2025-03-18 00:00:00,Comercial Sur,Colombia,Hardware,Servidor Dell PowerEdge,9,279.4,2514.6,Cancelled
SO0826,2025-03-18 00:00:00,Grupo Constructor,México,Servicios Cloud,Migración de Servidores,9,945.22,8506.98,Draft
SO0017,2025-03-19 00:00:00,Grupo Constructor,Colombia,Licencias Software,Odoo Enterprise (50 Users),16,186.53,2984.48,Sale
SO0024,2025-03-19 00:00:00,Consultoría Global,México,Hardware,Portátil Lenovo ThinkPad,7,987.28,6910.96,Sale
SO0062,2025-03-19 00:00:00,Consultoría Global,España,Hardware,Servidor Dell PowerEdge,13,922.48,11992.24,Draft
SO0245,2025-03-19 00:00:00,Empresa Alfa,Perú,Hardware,Switch Cisco,1,377.2,377.2,Sale
SO0506,2025-03-19 00:00:00,Industrias XYZ,Colombia,Consultoría,Auditoría de Seguridad,3,1196.64,3589.92,Sale
SO0814,2025-03-19 00:00:00,Industrias XYZ,México,Soporte Técnico,Bolsa de 10h,4,813.16,3252.64,Sale
SO0933,2025-03-19 00:00:00,Comercial Sur,Colombia,Soporte Técnico,Bolsa de 50h,5,942.03,4710.15,Sale
SO0488,2025-03-20 00:00:00,Logística Express,España,Consultoría,Optimización de Procesos,4,396.97,1587.88,Sale
SO0531,2025-03-20 00:00:00,Tech Solutions,Perú,Licencias Software,Licencia Windows Server,14,281.44,3940.16,Cancelled
SO0702,2025-03-20 00:00:00,Logística Express,España,Consultoría,Diseño de Arquitectura,19,550.09,10451.71,Cancelled
SO0789,2025-03-20 00:00:00,Grupo Constructor,Argentina,Licencias Software,Licencia Windows Server,16,434.44,6951.04,Sale
